         11663802 function calls (11653632 primitive calls) in 8.212 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      489    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     4853    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      900    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    450/4    0.001    0.000    0.776    0.194 <frozen importlib._bootstrap_external>:777(exec_module)
     2381    0.001    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      450    0.005    0.000    0.203    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      931    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      450    0.006    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      825    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       64    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(error)
        1    0.000    0.000    0.000    0.000 <string>:11(com_error)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.000    0.000 Image.py:2536(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2545(ImageTransformHandler)
        1    0.000    0.000    0.023    0.023 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3234(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3270(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:473(_E)
        1    0.000    0.000    0.000    0.000 Image.py:514(Image)
        1    0.000    0.000    0.000    0.000 Image.py:76(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:80(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:360(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       53    0.003    0.000    1.601    0.030 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1108(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1124(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1128(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1141(resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:119(PEP440Warning)
        1    0.000    0.000    0.029    0.029 __init__.py:119(_ensure_critical_deps)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        5    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
      214    0.000    0.000    0.001    0.000 __init__.py:1317(safe_name)
       11    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
      238    0.001    0.000    0.007    0.000 __init__.py:1325(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        4    0.000    0.000    0.000    0.000 __init__.py:136(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1394(get_resource_filename)
      157    0.000    0.000    0.003    0.000 __init__.py:1406(_get_metadata_path)
      131    0.000    0.000    0.007    0.000 __init__.py:1409(has_metadata)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       26    0.000    0.000    0.003    0.000 __init__.py:1416(get_metadata)
        1    0.000    0.000    0.001    0.001 __init__.py:142(_try_enable_svml)
       26    0.000    0.000    0.003    0.000 __init__.py:1431(get_metadata_lines)
      158    0.000    0.000    0.002    0.000 __init__.py:1487(_fn)
      158    0.000    0.000    0.001    0.000 __init__.py:1493(_validate_resource_path)
        1    0.000    0.000    0.010    0.010 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:15(_init)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
       13    0.000    0.000    0.000    0.000 __init__.py:1579(_parents)
        1    0.000    0.000    0.000    0.000 __init__.py:1590(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1593(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1597(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1610(DefaultProvider)
      131    0.000    0.000    0.005    0.000 __init__.py:1613(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
       26    0.000    0.000    0.002    0.000 __init__.py:1625(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1629(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1640(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1653(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1660(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1687(MemoizedZipManifests)
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1707(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.001    0.001 __init__.py:176(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1882(FileMetadata)
       13    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1924(PathMetadata)
      214    0.000    0.000    0.000    0.000 __init__.py:1944(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1949(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        4    0.000    0.000    0.000    0.000 __init__.py:1967(register_finder)
       22    0.000    0.000    0.000    0.000 __init__.py:1977(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        3    0.000    0.000    0.222    0.074 __init__.py:2(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:2006(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:2014(find_nothing)
       20    0.000    0.000    0.021    0.001 __init__.py:2021(_by_version_descending)
      214    0.000    0.000    0.010    0.000 __init__.py:2036(_by_version)
      214    0.000    0.000    0.009    0.000 __init__.py:2042(<listcomp>)
      234    0.001    0.000    0.077    0.000 __init__.py:2047(find_on_path)
      234    0.001    0.000    0.010    0.000 __init__.py:2064(<genexpr>)
     1460    0.001    0.000    0.018    0.000 __init__.py:2079(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:209(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:2099(NoDists)
     1032    0.000    0.000    0.000    0.000 __init__.py:2107(__bool__)
       20    0.000    0.000    0.002    0.000 __init__.py:2116(safe_listdir)
        1    0.000    0.000    0.000    0.000 __init__.py:213(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
      428    0.001    0.000    0.041    0.000 __init__.py:2137(distributions_from_metadata)
       12    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:2186(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
       52    0.000    0.000    0.012    0.000 __init__.py:2204(_handle_ns)
       12    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
        1    0.000    0.000    0.001    0.001 __init__.py:2273(declare_namespace)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       10    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
      107    0.000    0.000    0.011    0.000 __init__.py:2307(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 __init__.py:231(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:234(_register_at_fork_reinit_lock)
       13    0.000    0.000    0.003    0.000 __init__.py:2346(normalize_path)
       13    0.000    0.000    0.000    0.000 __init__.py:2352(_cygwin_patch)
     1304    0.000    0.000    0.003    0.000 __init__.py:2363(_normalize_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
       32    0.000    0.000    0.000    0.000 __init__.py:2371(_is_egg_path)
       20    0.000    0.000    0.000    0.000 __init__.py:2378(_is_unpacked_egg)
       99    0.000    0.000    0.001    0.000 __init__.py:2396(yield_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:2425(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:250(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
       24    0.000    0.000    0.006    0.000 __init__.py:2557(_version_from_file)
       72    0.000    0.000    0.000    0.000 __init__.py:2562(is_version_line)
        1    0.000    0.000    0.000    0.000 __init__.py:257(VersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:2570(Distribution)
      214    0.000    0.000    0.008    0.000 __init__.py:2574(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
      214    0.001    0.000    0.016    0.000 __init__.py:2587(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:26(SetupEnvironment)
      190    0.000    0.000    0.000    0.000 __init__.py:2604(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
      749    0.001    0.000    0.001    0.000 __init__.py:2646(key)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
      204    0.000    0.000    0.011    0.000 __init__.py:2774(_get_metadata)
       24    0.000    0.000    0.006    0.000 __init__.py:2779(_get_version)
      107    0.000    0.000    0.020    0.000 __init__.py:2785(activate)
      371    0.000    0.000    0.000    0.000 __init__.py:2821(__getattr__)
      107    0.000    0.000    0.002    0.000 __init__.py:2879(insert_on)
        1    0.000    0.000    0.000    0.000 __init__.py:289(ContextualVersionConflict)
      107    0.000    0.000    0.001    0.000 __init__.py:2905(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2990(EggInfoDistribution)
       24    0.000    0.000    0.006    0.000 __init__.py:2991(_reload_version)
        1    0.000    0.000    0.007    0.007 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3009(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:302(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:3101(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:3105(Requirement)
       74    0.003    0.000    0.008    0.000 __init__.py:313(namedtuple)
       23    0.000    0.000    0.000    0.000 __init__.py:3157(_always_object)
       23    0.000    0.000    0.000    0.000 __init__.py:3167(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        2    0.000    0.000    0.100    0.050 __init__.py:3239(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3244(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3249(<genexpr>)
        1    0.000    0.000    0.100    0.100 __init__.py:3256(_initialize_master_working_set)
      108    0.000    0.000    0.021    0.000 __init__.py:3282(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:329(UnknownExtra)
        1    0.000    0.000    0.000    0.000 __init__.py:3296(PkgResourcesDeprecationWarning)
       34    0.000    0.000    0.019    0.001 __init__.py:339(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:343(register_loader_type)
        6    0.000    0.000    0.063    0.011 __init__.py:35(load_module)
        1    0.000    0.000    0.000    0.000 __init__.py:353(get_provider)
       34    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
      178    0.000    0.000    0.001    0.000 __init__.py:383(__getattr__)
      366    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:386(get_build_platform)
      178    0.000    0.000    0.000    0.000 __init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        2    0.000    0.000    0.002    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:405(WinDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:414(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:427(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        5    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:440(__getattr__)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        2    0.000    0.000    0.039    0.019 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:501(IMetadataProvider)
       17    0.000    0.000    0.000    0.000 __init__.py:506(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:510(string_at)
        1    0.000    0.000    0.000    0.000 __init__.py:524(IResourceProvider)
       76    0.000    0.000    0.000    0.000 __init__.py:540(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:552(WorkingSet)
        2    0.000    0.000    0.041    0.021 __init__.py:555(__init__)
        1    0.000    0.000    0.041    0.041 __init__.py:568(_build_master)
        1    0.000    0.000    0.000    0.000 __init__.py:57(install)
       76    0.000    0.000    0.000    0.000 __init__.py:608(update)
       22    0.000    0.000    0.079    0.004 __init__.py:610(add_entry)
      108    0.000    0.000    0.000    0.000 __init__.py:667(__iter__)
      214    0.001    0.000    0.002    0.000 __init__.py:684(add)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
        9    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(__PackageSupportBuildPath__)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
       13    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:85(_ensure_llvm)
        1    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:906(subscribe)
      107    0.000    0.000    0.000    0.000 __init__.py:920(_added_new)
